tone_label,tone_name,tts_model,tsne_x,tsne_y
0,sắc,VieNEU-TTS,25.143131,-72.303474
5,không dấu,edge-tts_man,52.41767,-22.785427
5,không dấu,edge-tts_woman,-91.07941,-8.130061
5,không dấu,edge-tts_man,55.89047,3.740292
5,không dấu,edge-tts_man,-28.279955,36.352154
4,nặng,audio_mms_output,-17.797834,-92.58882
5,không dấu,audio_mms_output,-22.552734,-56.605556
5,không dấu,edge-tts_man,-24.556005,14.774177
5,không dấu,edge-tts_woman,-79.44671,-0.58613676
5,không dấu,audio_espeak,-4.42862,62.404728
5,không dấu,edge-tts_woman,103.285805,8.791594
5,không dấu,audio_mms_output,-77.38921,-32.731617
2,hỏi,edge-tts_woman,86.46526,0.6674717
5,không dấu,edge-tts_woman,-74.12915,10.520395
5,không dấu,edge-tts_man,26.484762,-3.8033738
5,không dấu,edge-tts_woman,-58.709118,54.623272
0,sắc,edge-tts_man,42.730427,1.0643513
5,không dấu,audio_espeak,-59.14717,81.29568
5,không dấu,audio_espeak,33.47898,66.89139
5,không dấu,audio_mms_output,-68.37561,-25.646814
5,không dấu,audio_espeak,2.7426124,92.82699
0,sắc,VieNEU-TTS,-57.966984,-65.36981
0,sắc,edge-tts_man,30.133072,32.606632
5,không dấu,audio_mms_output,-43.94512,-12.009697
4,nặng,edge-tts_woman,66.217964,10.075166
5,không dấu,edge-tts_woman,-65.68917,23.43699
5,không dấu,VieNEU-TTS,-25.08357,-33.77806
5,không dấu,VieNEU-TTS,-43.33774,2.5066044
5,không dấu,audio_mms_output,-68.18457,-28.698833
5,không dấu,edge-tts_woman,-88.16528,53.40609
0,sắc,audio_espeak,72.235016,67.82783
5,không dấu,edge-tts_woman,71.85645,25.476782
5,không dấu,edge-tts_woman,-90.811455,18.683628
5,không dấu,edge-tts_man,1.1034778,39.564796
5,không dấu,VieNEU-TTS,-50.42196,-26.630024
5,không dấu,edge-tts_woman,-67.37537,49.915787
5,không dấu,audio_mms_output,-48.80898,6.9028335
5,không dấu,audio_mms_output,1.7951083,-22.075035
5,không dấu,VieNEU-TTS,-21.456505,-28.34741
5,không dấu,audio_espeak,-72.91684,76.8377
5,không dấu,audio_espeak,53.498295,77.624405
5,không dấu,edge-tts_man,52.68132,-24.048864
5,không dấu,VieNEU-TTS,-41.03969,-69.189674
5,không dấu,audio_espeak,21.765497,110.75812
5,không dấu,VieNEU-TTS,1.8822845,-22.155794
5,không dấu,VieNEU-TTS,-15.948934,-27.610779
0,sắc,edge-tts_woman,73.60968,-16.993034
1,huyền,VieNEU-TTS,-16.330872,-94.18296
5,không dấu,VieNEU-TTS,-55.053177,-27.117443
5,không dấu,audio_espeak,43.854805,87.98226
5,không dấu,VieNEU-TTS,-3.718521,-23.012352
5,không dấu,edge-tts_woman,-77.33554,6.8913064
1,huyền,edge-tts_man,49.005325,-7.428212
5,không dấu,audio_espeak,5.970392,75.740234
5,không dấu,edge-tts_man,-42.179993,16.308666
2,hỏi,edge-tts_man,42.737007,2.7309146
5,không dấu,audio_mms_output,-71.60455,-49.023056
5,không dấu,edge-tts_man,34.697903,-1.8192422
5,không dấu,edge-tts_man,-34.776253,43.963562
1,huyền,VieNEU-TTS,41.05446,-49.8299
0,sắc,audio_espeak,68.16856,67.92352
5,không dấu,audio_espeak,-22.887846,95.95194
5,không dấu,audio_mms_output,46.05295,-56.564205
