tone_label,tone_name,tts_model,tsne_x,tsne_y
5,không dấu,edge-tts_woman,4.825986,-49.715076
5,không dấu,VieNEU-TTS,26.361528,71.08313
5,không dấu,edge-tts_woman,0.7229306,-67.385086
5,không dấu,edge-tts_woman,15.899831,-74.4036
5,không dấu,edge-tts_woman,-60.55501,-71.13396
5,không dấu,edge-tts_woman,-8.741353,-99.57947
5,không dấu,VieNEU-TTS,-58.066307,28.389091
3,ngã,edge-tts_man,-56.53858,-20.717438
5,không dấu,edge-tts_woman,8.8943405,-39.91482
4,nặng,audio_espeak,89.204796,40.754036
5,không dấu,audio_espeak,73.73024,-46.532597
5,không dấu,audio_mms_output,-4.531307,29.645426
1,huyền,VieNEU-TTS,-14.240471,97.024796
5,không dấu,audio_espeak,56.8639,-51.665047
5,không dấu,audio_mms_output,-29.946196,90.35586
5,không dấu,VieNEU-TTS,-38.091553,59.984604
0,sắc,VieNEU-TTS,28.271381,75.35589
5,không dấu,VieNEU-TTS,-21.634838,12.119942
5,không dấu,VieNEU-TTS,-9.473098,31.424818
5,không dấu,edge-tts_man,-97.07643,-5.7120037
5,không dấu,audio_espeak,51.669216,5.9242
5,không dấu,audio_espeak,87.77598,-26.639036
5,không dấu,audio_espeak,39.29337,-46.702618
2,hỏi,audio_mms_output,11.911884,34.49906
5,không dấu,VieNEU-TTS,22.921173,67.71563
5,không dấu,audio_mms_output,-29.236301,11.707577
3,ngã,VieNEU-TTS,-20.995626,51.77337
1,huyền,audio_espeak,36.900322,-29.515612
5,không dấu,audio_espeak,76.10756,-28.414457
5,không dấu,VieNEU-TTS,-13.71837,84.54821
5,không dấu,edge-tts_woman,-3.622586,-110.56314
5,không dấu,edge-tts_man,-51.550865,-33.448643
4,nặng,audio_mms_output,-47.042435,62.42809
5,không dấu,edge-tts_man,-77.710045,-27.937775
5,không dấu,edge-tts_woman,-9.489145,-101.5875
5,không dấu,edge-tts_man,16.144073,-25.103313
5,không dấu,VieNEU-TTS,11.155256,61.258526
5,không dấu,audio_espeak,55.440826,17.228958
5,không dấu,VieNEU-TTS,-9.031507,17.867634
5,không dấu,audio_mms_output,44.403767,35.372364
3,ngã,edge-tts_woman,76.04598,38.278053
5,không dấu,VieNEU-TTS,-25.637653,86.73976
5,không dấu,audio_espeak,60.123184,-30.184423
